DayOrder,DayOfWeekStr,starttime,endtime,permit,PermitLocation,locationdesc,optionaltext,locationid,scheduleid,start24,end24,CNN,Addr_Date_Create,Addr_Date_Modified,block,lot,ColdTruck,Applicant,X,Y,Latitude,Longitude,Location,FacilityType,Permit_status,Approved,Received,PriorPermit,ExpirationDate
1,Monday,10AM,3PM,16MFF-0143,101 CALIFORNIA ST,Truck located on the California Street frontage approximately 110 feet east of the California Street and Front St intersection,"Senor Sisig: Filipino fusion food: tacos, burritos, nachos, rice plates. Various beverages.",1024464,,10:00,15:00,3525000,10/2/17 10:45,10/2/17 10:46,263,11,N,Senor Sisig,6013384.005,2116933.92,37.79344987,-122.3976326,"(37.7934498719601, -122.397632559839)",Truck,APPROVED,6/4/18,12/2/16,,7/15/19
5,Friday,10AM,3PM,16MFF-0143,101 CALIFORNIA ST,Truck located on the California Street frontage approximately 110 feet east of the California Street and Front St intersection,"Senor Sisig: Filipino fusion food: tacos, burritos, nachos, rice plates. Various beverages.",1024464,,10:00,15:00,3525000,10/2/17 10:45,10/2/17 10:46,263,11,N,Senor Sisig,6013384.005,2116933.92,37.79344987,-122.3976326,"(37.7934498719601, -122.397632559839)",Truck,APPROVED,6/4/18,12/2/16,,7/15/19
3,Wednesday,10AM,3PM,16MFF-0143,101 CALIFORNIA ST,Truck located on the California Street frontage approximately 110 feet east of the California Street and Front St intersection,"Senor Sisig: Filipino fusion food: tacos, burritos, nachos, rice plates. Various beverages.",1024464,,10:00,15:00,3525000,10/2/17 10:45,10/2/17 10:46,263,11,N,Senor Sisig,6013384.005,2116933.92,37.79344987,-122.3976326,"(37.7934498719601, -122.397632559839)",Truck,APPROVED,6/4/18,12/2/16,,7/15/19
1,Monday,12PM,1PM,17MFF-0185,727 SANSOME ST,"Truck located on the West side of Sansome Street, approximately 16 feet from the Gold Street intersection -- Indian street food, tikka masala burritos, samosas, naan, etc.",Indian Street Food: Tikka Masala Burritos; Samosas; Sexy Fries (Indian-inspired poutine); Naughty Naans; Deconstructed Samosas; Kathi Rolls; Lassis and Lemonades,1009768,,12:00,13:00,11553000,8/23/17 11:14,10/4/17 16:08,175,3,N,Akuranvyka USA Inc,6012146.226,2118260.684,37.79702385,-122.4020087,"(37.7970238481128, -122.40200870828)",Truck,ISSUED,3/1/18,5/10/17,,7/15/19
4,Thursday,12PM,1PM,17MFF-0185,727 SANSOME ST,"Truck located on the West side of Sansome Street, approximately 16 feet from the Gold Street intersection -- Indian street food, tikka masala burritos, samosas, naan, etc.",Indian Street Food: Tikka Masala Burritos; Samosas; Sexy Fries (Indian-inspired poutine); Naughty Naans; Deconstructed Samosas; Kathi Rolls; Lassis and Lemonades,1009768,,12:00,13:00,11553000,8/23/17 11:14,10/4/17 16:08,175,3,N,Akuranvyka USA Inc,6012146.226,2118260.684,37.79702385,-122.4020087,"(37.7970238481128, -122.40200870828)",Truck,ISSUED,3/1/18,5/10/17,,7/15/19
2,Tuesday,12PM,1PM,17MFF-0185,727 SANSOME ST,"Truck located on the West side of Sansome Street, approximately 16 feet from the Gold Street intersection -- Indian street food, tikka masala burritos, samosas, naan, etc.",Indian Street Food: Tikka Masala Burritos; Samosas; Sexy Fries (Indian-inspired poutine); Naughty Naans; Deconstructed Samosas; Kathi Rolls; Lassis and Lemonades,1009768,,12:00,13:00,11553000,8/23/17 11:14,10/4/17 16:08,175,3,N,Akuranvyka USA Inc,6012146.226,2118260.684,37.79702385,-122.4020087,"(37.7970238481128, -122.40200870828)",Truck,ISSUED,3/1/18,5/10/17,,7/15/19
5,Friday,12PM,1PM,17MFF-0185,601 03RD ST,"Truck located on the North side of 3rd Street, approximately 120 feet from the Brannon Street intersection - Indian street food, tikka masala burritos, samosas, naan, etc.",Indian Street Food: Tikka Masala Burritos; Samosas; Sexy Fries (Indian-inspired poutine); Naughty Naans; Deconstructed Samosas; Kathi Rolls; Lassis and Lemonades,975273,,12:00,13:00,179000,5/15/17 16:26,10/4/17 16:04,3788,20,N,Akuranvyka USA Inc,6014275.908,2112050.699,37.7800913,-122.3942044,"(37.7800912961549, -122.394204446502)",Truck,ISSUED,3/1/18,5/10/17,,7/15/19
4,Thursday,12PM,1PM,17MFF-0185,601 03RD ST,"Truck located on the North side of 3rd Street, approximately 120 feet from the Brannon Street intersection - Indian street food, tikka masala burritos, samosas, naan, etc.",Indian Street Food: Tikka Masala Burritos; Samosas; Sexy Fries (Indian-inspired poutine); Naughty Naans; Deconstructed Samosas; Kathi Rolls; Lassis and Lemonades,975273,,12:00,13:00,179000,5/15/17 16:26,10/4/17 16:04,3788,20,N,Akuranvyka USA Inc,6014275.908,2112050.699,37.7800913,-122.3942044,"(37.7800912961549, -122.394204446502)",Truck,ISSUED,3/1/18,5/10/17,,7/15/19
2,Tuesday,12PM,1PM,17MFF-0185,601 03RD ST,"Truck located on the North side of 3rd Street, approximately 120 feet from the Brannon Street intersection - Indian street food, tikka masala burritos, samosas, naan, etc.",Indian Street Food: Tikka Masala Burritos; Samosas; Sexy Fries (Indian-inspired poutine); Naughty Naans; Deconstructed Samosas; Kathi Rolls; Lassis and Lemonades,975273,,12:00,13:00,179000,5/15/17 16:26,10/4/17 16:04,3788,20,N,Akuranvyka USA Inc,6014275.908,2112050.699,37.7800913,-122.3942044,"(37.7800912961549, -122.394204446502)",Truck,ISSUED,3/1/18,5/10/17,,7/15/19
5,Friday,9AM,4PM,17MFF-0192,1133 MISSION ST,Truck located in the two parking spaces in front of 1133 Mission St,Halal Gyro and Cheesesteaks,1020424,,9:00,16:00,9101000,9/19/17 16:09,10/12/17 16:04,3727,96,N,"Kabob Trolley, LLC",6009230.879,2111606.368,37.77858956,-122.4116262,"(37.7785895598036, -122.411626152794)",Truck,APPROVED,2/12/18,9/19/17,,7/15/18
2,Tuesday,9AM,4PM,17MFF-0192,1133 MISSION ST,Truck located in the two parking spaces in front of 1133 Mission St,Halal Gyro and Cheesesteaks,1020424,,9:00,16:00,9101000,9/19/17 16:09,10/12/17 16:04,3727,96,N,"Kabob Trolley, LLC",6009230.879,2111606.368,37.77858956,-122.4116262,"(37.7785895598036, -122.411626152794)",Truck,APPROVED,2/12/18,9/19/17,,7/15/18
1,Monday,9AM,4PM,17MFF-0192,1133 MISSION ST,Truck located in the two parking spaces in front of 1133 Mission St,Halal Gyro and Cheesesteaks,1020424,,9:00,16:00,9101000,9/19/17 16:09,10/12/17 16:04,3727,96,N,"Kabob Trolley, LLC",6009230.879,2111606.368,37.77858956,-122.4116262,"(37.7785895598036, -122.411626152794)",Truck,APPROVED,2/12/18,9/19/17,,7/15/18
4,Thursday,10AM,3PM,17MFF-0191,253 DRUMM ST,10:30am-3:00pm,"Various types of meat, veggie, and seafood bowls.",1013324,,10:00,15:00,4972000,10/25/11 8:22,10/25/11 8:22,203,13,N,Wu Wei LLC dba MoBowl,6013602.811,2117830.09,37.79592273,-122.3969383,"(37.795922726101, -122.396938330446)",Truck,APPROVED,5/4/18,8/31/17,1/1/00,7/15/19
